username,counts,bias,type
CNNPolitics,328187.0,Left leaning,media
Breaking911,278316.0,Fake news,media
AP,266769.0,Left leaning,media
dcexaminer,226533.0,Right,media
cnnbrk,162899.0,Left leaning,media
WattersWorld,152714.0,Right,media
nowthisimpact,148161.0,Left leaning,media
cspan,107574.0,Center,media
disclosetv,106956.0,Right,media
BreitbartNews,98558.0,Right,media
60Minutes,90182.0,Center,media
nprpolitics,89073.0,Left,media
CBS_Herridge,86570.0,Center,media
gatewaypundit,86116.0,Extreme bias right,media
business,79038.0,Center,media
Rasmussen_Poll,76767.0,Right leaning,media
TVNewsHQ,75760.0,Center,media
WashTimes,75066.0,Right,media
realDailyWire,71332.0,Right,media
Politics_Polls,65784.0,Center,media
voxdotcom,60403.0,Left,media
espnmma,58985.0,Center,media
nytopinion,56923.0,Left,media
CNBCnow,55902.0,Center,media
CNNSOTU,52892.0,Left,media
AP_Politics,50411.0,Center,media
bbgoriginals,49563.0,Center,media
TheDailyShow,48533.0,Left,media
EpochTimes,45190.0,Right,media
YahooNews,43938.0,Center,media
PpollingNumbers,43012.0,Center,media
TMZ,42785.0,Center,media
ABCPolitics,39515.0,Center,media
TheLeadCNN,38255.0,Center,media
DeadlineWH,38147.0,Left,media
RSBNetwork,34533.0,Right,media
Telegraph,34112.0,Right,media
ajplus,34094.0,Left,media
SCOTUSblog,33319.0,Center,media
NBCPolitics,31395.0,Center,media
FaceTheNation,30187.0,Center,media
MaddowBlog,30171.0,Left,media
PnPCBC,30047.0,Center,media
thereidout,29144.0,Left,media
ReaganBattalion,29031.0,Right leaning,media
Channel4News,28838.0,Left leaning,media
balleralert,26588.0,Center,media
MLBONFOX,26027.0,Center,media
NewsHour,25202.0,Left leaning,media
TheView,25152.0,Left leaning,media
CNNPR,24610.0,Left,media
CBSEveningNews,24542.0,Center,media
MeetThePress,23999.0,Center,media
KDKA,23335.0,Center,media
sciam,23236.0,Center,media
TheFirstonTV,23233.0,Right,media
PostOpinions,22166.0,Left,media
AFP,21748.0,Center,media
ThisWeekABC,21271.0,Center,media
BBCNews,19572.0,Center,media
latelateshow,19445.0,Center,media
THR,19075.0,Center,media
NYPostOpinion,18976.0,Right,media
nowthisnews,18844.0,Left,media
nytpolitics,18544.0,Center,media
NBCNightlyNews,18190.0,Center,media
guardian,18108.0,Left,media
CNNThisMorning,17924.0,Center,media
bpolitics,17459.0,Center,media
AC360,16895.0,Center,media
ANI,16562.0,Center,media
NewsCentralCNN,16268.0,Center,media
CBSMornings,15977.0,Center,media
allinwithchris,15777.0,Left,media
WSPA7,15426.0,Center,media
SportsCenter,15344.0,Center,media
8NEWS,15249.0,Center,media
TODAYshow,15142.0,Center,media
townhallcom,15121.0,Right,media
SkyNews,15017.0,Center,media
KTVN,14560.0,Center,media
itvnews,14525.0,Center,media
Outkick,14357.0,Right,media
ABC13News,14325.0,Center,media
tr_globalnews,14205.0,Center,media
Jerusalem_Post,14024.0,Center,media
americamag,14018.0,Left,media
TheYBF,13888.0,Center,media
adage,13776.0,Center,media
Fxhedgers,13519.0,Center,media
colbertlateshow,13499.0,Left,media
10TV,13446.0,Center,media
IAStartingLine,13244.0,Left,media
blackvoices,13234.0,Left,media
NTDNews,13218.0,Right,media
mrctv,13054.0,Right,media
g1,12907.0,Center,media
NBCPhiladelphia,12862.0,Center,media
NPRpubliceditor,12771.0,Center,media
MediaBuzzFNC,12637.0,Right,media
FoxNewsSunday,12552.0,Right,media
NRO,12502.0,Right,media
VenturaReport,12477.0,Right,media
NewsPolitics,12294.0,Center,media
democracynow,12131.0,Left,media
ABC30,12081.0,Center,media
Morning_Joe,11967.0,Left,media
nytclimate,11887.0,Left,media
BFMTV,11866.0,Center,media
EFEnoticias,11790.0,Center,media
TheTNHoller,11361.0,Left,media
CNBCPolitics,11355.0,Center,media
AFPespanol,11052.0,Center,media
BBCWorld,10953.0,Center,media
YahooSportsCFB,10868.0,Center,media
UpwardNewsHQ,10751.0,Right,media
Variety,10716.0,Center,media
TheEconomist,10696.0,Center,media
StatusCoup,10607.0,Left,media
el_pais,10222.0,Left,media
TexasSignal,10183.0,Left,media
njdotcom,10107.0,Center,media
RT_com,9968.0,Fake news,media
TheProspect,9860.0,Left,media
VICENews,9539.0,Left,media
PoliticsJOE_UK,9511.0,Center,media
FDRLST,9374.0,Right,media
CNNEE,9301.0,Center,media
CNNBusiness,9232.0,Center,media
NYTNational,9221.0,Left,media
12OnYourSide,9164.0,Center,media
globaltimesnews,9101.0,Left,media
KyivPost,9095.0,Center,media
NextRevFNC,8977.0,Right,media
WAVY_News,8915.0,Center,media
starsandstripes,8881.0,Center,media
TheInsiderPaper,8841.0,Center,media
FinancialTimes,8687.0,Center,media
FOX13News,8437.0,Center,media
60Mins,8430.0,Center,media
usatodayDC,8429.0,Center,media
TheBabylonBee,8263.0,Right,media
nbcsnl,8247.0,Center,media
cnni,8150.0,Center,media
TPM,7943.0,Left,media
BBCNewsnight,7765.0,Center,media
GMA,7710.0,Center,media
WSJopinion,7667.0,Right,media
TheLastWord,7591.0,Left,media
ABC7NY,7533.0,Center,media
Suntimes,7527.0,Center,media
BNOFeed,7477.0,Center,media
SaharaReporters,7183.0,Center,media
6abc,7160.0,Center,media
kcalnews,7038.0,Center,media
verge,7035.0,Center,media
statesman,7018.0,Center,media
CrainsChicago,7017.0,Center,media
weartv,6867.0,Center,media
lawcrimenews,6809.0,Center,media
startelegram,6787.0,Center,media
thebias_news,6756.0,Right,media
BreakingNews,6713.0,Center,media
ReutersVzla,6690.0,Center,media
XXL,6677.0,Center,media
OutFrontCNN,6656.0,Center,media
CNNOpinion,6600.0,Left,media
LifeNewsHQ,6583.0,Right,media
KTLA,6566.0,Center,media
motherboard,6530.0,Left,media
postpolitics,6512.0,Left,media
ReliableSources,6488.0,Left,media
YonhapNews,6468.0,Center,media
GolfCentral,6465.0,Center,media
elmundoes,6449.0,Center,media
New_Narrative,6426.0,Center,media
TDN_NOTICIAS,6423.0,Center,media
SBSNews,6405.0,Center,media
NASCARONFOX,6329.0,Center,media
WCCO,6281.0,Center,media
SFGate,6170.0,Left,media
midmichigannow,6146.0,Center,media
espnW,6139.0,Center,media
11thHour,6135.0,Left,media
NBCNewsPR,6062.0,Center,media
ndtv,6012.0,Center,media
JulieNBCNews,5865.0,Center,media
AlArabiya_Eng,5860.0,Center,media
CBCNews,5836.0,Center,media
TheRoot,5812.0,Left,media
NY1,5784.0,Center,media
ABC7,5778.0,Center,media
NBCLatino,5767.0,Center,media
azcpolitics,5752.0,Center,media
Jezebel,5746.0,Left,media
latinus_us,5729.0,Center,media
WIRED,5719.0,Center,media
wsbtv,5687.0,Center,media
HotNewHipHop,5684.0,Center,media
Mediavenir,5674.0,Center,media
CNNSitRoom,5657.0,Center,media
cbschicago,5523.0,Center,media
CBS4Tim,5472.0,Center,media
AJEnglish,5469.0,Left,media
Not_the_Bee,5446.0,Right,media
BylineTimes,5366.0,Left,media
FOX5Atlanta,5279.0,Center,media
RichardCityNews,5256.0,Center,media
BBCBreaking,5245.0,Center,media
WW_NEWS_,5126.0,Center,media
BLaw,5111.0,Center,media
amanpour,5093.0,Left,media
KTVU,5070.0,Center,media
gaceta_es,5052.0,Right,media
ELTIEMPO,5020.0,Center,media
abc_es,5003.0,Center,media
jacobin,4997.0,Left,media
DailyMailUK,4961.0,Right,media
PopWrapped,4946.0,Center,media
timelesssports_,4934.0,Center,media
DAYTONA,4916.0,Center,media
TocRadio,4858.0,Center,media
espn,4820.0,Center,media
NBCOUT,4785.0,Center,media
WillieGeist,4776.0,Center,media
BulwarkOnline,4730.0,Center,media
Milbank,4711.0,Left,media
PanAmPost_es,4698.0,Center,media
foxnewsradio,4682.0,Right,media
stltoday,4563.0,Center,media
npratc,4553.0,Center,media
TheHardcoreAP,4540.0,Center,media
NYTHealth,4487.0,Center,media
USAenEspanol,4435.0,Center,media
wikileaks,4410.0,Center,media
journalsentinel,4388.0,Center,media
MehdiHasanShow,4306.0,Center,media
DMRegister,4283.0,Center,media
dwnews,4232.0,Center,media
theappeal,4228.0,Center,media
latimesopinion,4227.0,Center,media
FrontierMM,4223.0,Center,media
CNEWS,4215.0,Center,media
BlueSky_Report,4204.0,Center,media
MSNBCPR,4187.0,Center,media
FallonTonight,4172.0,Center,media
ElHuffPost,4163.0,Center,media
DEADLINE,4127.0,Center,media
htTweets,4105.0,Center,media
lemondefr,4104.0,Center,media
Ami_Magazine,4095.0,Center,media
EuropeElects,4089.0,Center,media
HuffPostPol,4077.0,Center,media
WakeUp2Politics,4022.0,center,media
nelsonbocaranda,4018.0,Center,media
GuardianUS,4017.0,Left,media
JoeSquawk,4015.0,Right,media
RealAmVoice,4009.0,Right,media
InhofePress,4003.0,Right,media
Rkrahenbuhl,3995.0,Center,media
michaelscherer,3972.0,Center,media
LizSly,3956.0,Center,media
candicegiove,3956.0,Right,media
TheRealDaytime,3954.0,Center,media
SteveBattaglio,3942.0,Center,media
PulseNigeria247,3919.0,Center,media
SputnikInt,3907.0,Right,media
RajatSharmaLive,3905.0,Right,media
AriMelber,3883.0,Center,media
JSCCounterPunch,3870.0,Left,media
patriciajaniot,3864.0,Center,media
Valeurs,3858.0,Right,media
NPRinskeep,3855.0,Center,media
CBSSunday,3841.0,Center,media
BobMooreNews,3838.0,Center,media
NBCAsianAmerica,3828.0,Center,media
TheYoungTurks,3822.0,Left,media
reason,3822.0,Center,media
SkyNewsAust,3822.0,Right,media
marthamaccallum,3808.0,Right,media
NorahODonnell,3798.0,Center,media
edlavaCNN,3797.0,Center,media
CTmagazine,3787.0,Right,media
cnnpolitics,1725.0,Left leaning,media
breaking911,700.0,Fake news,media
ap,227.0,Left leaning,media
wattersworld,13.0,Right,media
